ClassOrder,ClassDescription,Acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change,Acres_Unchanged_Percent,Acres_Redev_Percent,Acres_Dev_Percent,job_spaces_redev_percentadd,job_spaces_dev_percentadd,resunits_redev_percentadd,resunits_dev_percentadd
1.0,CRT|Metropolitan Center,250.7412208166841,6700.0,49500.0,42800.0,1000.0,22800.0,21800.0,31.0,288.0,257.0,0.5623405066508961,0.2321643159202631,0.2054951774288408,0.5209679959410637,0.4790320040589363,0.5298078957693247,0.4701921042306752
2.0,LRT|Metropolitan Center,383.25320028865553,55600.0,92100.0,36500.0,3100.0,21700.0,18600.0,153.0,297.0,144.0,0.7561078635074548,0.06500901538103884,0.17888312111150634,0.25252820149485766,0.7474717985051423,0.26632023723122117,0.733679762768779
3.0,NONTOD|Metropolitan Center,299.47509924129923,11400.0,29000.0,17600.0,2300.0,11700.0,9400.0,46.0,136.0,90.0,0.6488707625291478,0.23123846104152868,0.1198907764293235,0.6334353712484699,0.3665646287515301,0.6561814157885767,0.3438185842114234
4.0,CRT|Urban Center,1051.5777033465204,21400.0,57200.0,35800.0,1600.0,19900.0,18300.0,22.0,73.0,51.0,0.7034157982051995,0.056391981262524316,0.24019222053227618,0.17267996287690932,0.8273200371230907,0.18691256346070337,0.8130874365392966
5.0,LRT|Urban Center,535.7984090235279,13500.0,28700.0,15200.0,3000.0,11300.0,8300.0,31.0,75.0,44.0,0.7351727730212538,0.0973962788297448,0.16743094814900142,0.31055034603794035,0.6894496539620596,0.3654014305432088,0.6345985694567913
6.0,NONTOD|Urban Center,9447.78679019363,156700.0,323100.0,166400.0,27200.0,97400.0,70200.0,19.0,45.0,26.0,0.738076580610378,0.04858731717115415,0.21333610221846785,0.16226044266088407,0.8377395573391159,0.17301672768186122,0.8269832723181388
7.0,CRT|City Center,380.0353592782778,1300.0,13800.0,12500.0,200.0,6600.0,6400.0,4.0,54.0,50.0,0.3417680831480716,0.040296866940982,0.6179350499109464,0.03714564418408047,0.9628543558159196,0.06041925351343954,0.9395807464865605
8.0,LRT|City Center,1078.0139959741336,12500.0,37400.0,24900.0,2100.0,15600.0,13500.0,13.0,49.0,36.0,0.5058035447471025,0.14953534801122711,0.3446611072416703,0.2388012340931219,0.7611987659068781,0.2957746261117245,0.7042253738882756
9.0,NONTOD|City Center,18949.018872781806,163200.0,318300.0,155100.0,33300.0,114200.0,80900.0,10.0,23.0,13.0,0.6118135330620237,0.049696302055415975,0.33849016488256034,0.07690731390392735,0.9230926860960726,0.11497822405323486,0.8850217759467651
10.0,CRT|NA,1023.6709333539098,4200.0,10500.0,6300.0,2000.0,5300.0,3300.0,6.0,15.0,9.0,0.6300987225729594,0.050040256379603035,0.31986102104743747,0.0680987648152079,0.9319012351847922,0.12354183535109182,0.8764581646489082
11.0,LRT|NA,2975.0015262771603,37500.0,50300.0,12800.0,8200.0,15400.0,7200.0,15.0,22.0,7.0,0.7171506702052547,0.09541472238832767,0.18743460740641757,0.21313770243546226,0.7868622975645377,0.30025130994892796,0.699748690051072
66.0,,36374.37311057561,483900.0,1009900.0,526000.0,84000.0,341800.0,257800.0,16.0,37.0,21.0,0.6537252404237628,0.05982787565777086,0.28644688391846646,0.1941197465307577,0.8058802534692423,0.22302547624180863,0.7769745237581914
